DWLUN,RDOS,YRBLT,TOTFIXT,HEATING,WBFPSTK,BMNTGAR,ATTFRGAR,TOTLIVAR,DECKOFP,ENCLPOR,NBHDGRP,RECROOM,FINBSMT,GRADE,CDU,TOTOBY,SALEPRIC 
1,9,1900,5,2,yes,0,0,1714,98,0,1,0,0,1,4,0,?
2,20,1890,10,2,no,0,0,1374,115,0,2,0,0,1,4,0,?
1,3,1920,5,2,no,0,0,1396,0,150,1,0,0,1,4,0,?
2,19,1940,8,2,yes,0,0,1494,60,230,1,0,0,1,4,4750,?
2,15,1900,10,2,no,0,0,3138,272,0,1,0,0,1.08,4,0,?
2,21,1900,10,2,no,0,0,1750,200,66,1,0,300,1.08,4,0,?
2,8,1900,10,2,no,0,0,2678,150,98,1,0,0,1.08,4,0,?
1,15,1893,8,2,no,0,0,1467,109,0,1,0,0,1,4,0,?
2,3,1910,10,2,no,0,0,2844,293,0,1,0,0,1,4,0,?
2,12,1935,10,2,no,2,0,2830,282,0,1,0,0,1.08,4,0,?
2,14,1926,10,2,no,0,0,2254,80,0,1,0,0,1,4,2740,?
3,5,1900,15,2,no,0,0,3318,234,0,1,0,0,1,4,0,?
2,11,1920,10,2,no,0,0,2448,105,60,1,0,0,1,4,6170,?
3,17,1910,15,2,no,0,0,3236,144,0,1,0,0,1.08,4,0,?
2,6,1930,10,2,no,0,0,2444,228,84,1,0,0,1.08,4,4340,?
1,3,1930,7,2,no,0,0,1476,184,0,1,144,0,1.08,4,0,?
1,7,1925,5,2,no,1,0,1529,0,192,1,0,0,1,4,0,?
2,19,1925,10,2,no,0,0,2250,246,78,1,0,0,1.08,4,4900,?
1,16,1910,5,2,no,0,0,1495,0,0,2,0,0,1,5,0,?
1,21,1885,5,2,no,0,0,1106,0,33,1,0,0,1,4,0,?
2,20,1930,10,2,no,0,0,2511,469,0,1,156,0,1,4,5370,?
3,9,1900,15,2,no,0,0,2916,216,216,1,0,0,1.08,4,0,?
2,21,1900,10,2,no,0,0,1900,418,0,2,0,0,1,5,1950,?
2,22,1900,10,2,no,0,0,1973,60,224,1,0,0,1.08,4,5780,?
1,18,1900,5,2,no,0,0,1354,540,0,1,0,0,1,4,0,?
2,23,1900,15,2,no,0,0,3186,418,0,1,0,0,1,4,4900,?
3,16,1910,15,2,no,0,0,3732,218,0,1,0,0,1,4,0,?